page,category,transplant_scope,voice_scope,words_A,words_B,words_C,words_D,words_E,words_F,words_H,words_T,words_R,guards_A,guards_A_per1k,guards_B,guards_C,chapter_refs_A,chapter_refs_A_per1k,chapter_refs_opener,chapter_refs_max_paragraph,reader_address,reader_address_per1k,verdicts,verdicts_per1k,metaphor_hits,metaphor_hits_per1k,we_count,we_per1k,i_count,okay,okay_exempt,okay_by_class,let_us,let_us_exempt,let_us_by_class,aka,aka_exempt,aka_by_class,exclamation,exclamation_exempt,exclamation_by_class,contractions,contractions_exempt,contractions_by_class,em_dash,em_dash_exempt,em_dash_by_class,note_that,note_that_exempt,note_that_by_class,it_can_be_shown,it_can_be_shown_exempt,it_can_be_shown_by_class,it_is_important,it_is_important_exempt,it_is_important_by_class,one_can,one_can_exempt,one_can_by_class,the_reader,the_reader_exempt,the_reader_by_class,intensifiers,intensifiers_exempt,intensifiers_by_class,simply_just,simply_just_exempt,simply_just_by_class,em_dash_R
index.qmd,preface,0,0,1800,0,1733,0,0,0,242,152,0,3,1.667,0,1,3,1.667,0,2,24,13.333,0,0.0,2,1.111,5,2.778,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,A:1 C:1,0
chapters/appendices/a1-linear-algebra.qmd,appendix,0,0,1799,164,172,195,140,164,88,80,509,3,1.668,0,1,4,2.223,3,3,4,2.223,6,3.335,1,0.556,5,2.779,0,1,0,A:1,3,0,A:3,0,0,,0,0,,0,0,,1,0,T:1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1
chapters/appendices/a2-tensors.qmd,appendix,0,0,1832,11,469,220,61,254,226,89,0,2,1.092,0,1,18,9.825,3,5,6,3.275,6,3.275,1,0.546,8,4.367,0,1,0,A:1,2,0,A:2,0,0,,0,0,,0,0,,1,0,T:1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,A:1,0
chapters/appendices/a3-precision-performance.qmd,appendix,0,0,2675,127,600,278,255,131,327,113,0,7,2.617,1,5,13,4.86,0,2,0,0.0,9,3.364,0,0.0,7,2.617,0,1,0,A:1,1,0,A:1,0,0,,0,0,,0,0,,1,0,T:1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,3,0,A:2 C:1,0
chapters/appendices/a4-notation.qmd,appendix,0,0,859,0,89,0,0,0,440,53,0,3,3.492,0,1,1,1.164,1,1,0,0.0,0,0.0,1,1.164,2,2.328,0,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,T:1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
chapters/appendices/a5-statistical-learning.qmd,appendix,0,0,1194,0,85,241,86,0,205,66,0,5,4.188,0,0,3,2.513,1,1,1,0.838,4,3.35,0,0.0,3,2.513,0,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,T:1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
chapters/epilogue.qmd,epilogue,0,0,1711,98,129,0,52,34,0,47,0,5,2.922,1,0,5,2.922,0,1,3,1.753,2,1.169,3,1.753,14,8.182,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,A:1,0
chapters/interludes/attention-as-test-time-regression.qmd,interlude,1,1,1399,88,147,178,108,144,0,79,0,7,5.004,0,0,8,5.718,1,2,1,0.715,3,2.144,3,2.144,4,2.859,0,1,0,T:1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
chapters/interludes/learning-by-experiment.qmd,interlude,1,0,2710,136,230,314,86,78,259,120,712,7,2.583,0,0,6,2.214,1,2,0,0.0,2,0.738,5,1.845,30,11.07,1,1,0,T:1,2,0,A:2,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,4
chapters/interludes/making-pca-learnable.qmd,interlude,1,0,1465,186,299,158,45,132,44,85,460,5,3.413,2,2,0,0.0,0,0,0,0.0,8,5.461,7,4.778,10,6.826,0,1,0,T:1,2,0,A:2,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,A:1 C:1,0,0,,0,0,,1,0,C:1,0
chapters/part1/01-linear-regression.qmd,chapter,1,1,2571,403,335,281,53,184,342,129,3006,3,1.167,3,2,6,2.334,0,2,7,2.723,7,2.723,16,6.223,47,18.281,0,1,0,T:1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,A:1 D:1,9
chapters/part1/02-logistic-softmax.qmd,chapter,1,0,922,259,1018,202,97,106,221,89,1999,0,0.0,0,2,7,7.592,1,2,4,4.338,1,1.085,6,6.508,11,11.931,0,1,0,T:1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,A:1,3,0,A:1 C:2,15
chapters/part1/03-nonlinearity-mlp.qmd,chapter,1,0,1610,281,426,316,191,166,231,79,2699,2,1.242,0,2,9,5.59,2,3,8,4.969,2,1.242,6,3.727,6,3.727,0,1,0,T:1,1,0,A:1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,A:1,14
chapters/part1/04-training-loss-sgd.qmd,chapter,1,0,2504,167,267,279,181,181,179,103,3775,5,1.997,0,2,16,6.39,3,3,12,4.792,5,1.997,17,6.789,15,5.99,0,1,0,T:1,0,0,,0,0,,0,0,,0,0,,0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,A:1,0,0,,21
chapters/part1/05-backpropagation.qmd,chapter,1,0,2626,397,163,339,164,282,502,64,2584,3,1.142,0,0,6,2.285,2,2,11,4.189,8,3.046,8,3.046,15,5.712,0,1,0,T:1,1,0,A:1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,A:2,6
chapters/part1/06-generalization-inductive-bias.qmd,chapter,1,1,2478,215,593,341,125,273,231,118,1656,5,2.018,2,2,11,4.439,0,2,4,1.614,3,1.211,13,5.246,24,9.685,0,1,0,T:1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,A:1,6
chapters/part2/07-filters-convolution.qmd,chapter,1,0,1179,128,93,184,57,155,88,66,2002,0,0.0,0,0,7,5.937,2,1,0,0.0,2,1.696,9,7.634,9,7.634,1,1,0,T:1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,C:1,0
chapters/part2/08-cnn.qmd,chapter,1,0,2741,257,521,209,81,247,159,85,1473,5,1.824,0,0,31,11.31,2,3,8,2.919,5,1.824,7,2.554,29,10.58,3,1,0,T:1,0,0,,0,0,,0,0,,1,0,A:1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,A:2,3
chapters/part2/09-modern-cnns-transfer.qmd,chapter,1,0,2917,368,570,378,223,434,285,127,0,3,1.028,1,0,15,5.142,2,2,8,2.743,4,1.371,4,1.371,36,12.341,0,1,0,T:1,1,0,A:1,0,0,,1,0,C:1,5,0,A:3 C:1 T:1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,A:2,0
chapters/part3/10-sequences-rnn.qmd,chapter,1,0,3234,431,342,230,155,340,259,92,1774,8,2.474,1,0,21,6.494,1,2,16,4.947,3,0.928,5,1.546,12,3.711,0,1,0,T:1,0,0,,0,0,,0,0,,2,0,A:1 C:1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,A:1,4,0,A:3 H:1,14
chapters/part3/11-encoder-decoder.qmd,chapter,1,0,2280,232,274,295,93,213,149,64,729,3,1.316,0,0,12,5.263,2,4,7,3.07,5,2.193,10,4.386,14,6.14,1,1,0,T:1,0,0,,0,0,,0,0,,0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,B:1,0
chapters/part4/12-kernel-regression.qmd,chapter,1,0,1431,146,606,319,222,163,171,110,392,2,1.398,1,1,11,7.687,1,2,0,0.0,9,6.289,1,0.699,15,10.482,0,1,0,T:1,2,0,A:2,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,3,0,A:1 C:2,1
chapters/part4/13-attention.qmd,chapter,1,1,2193,297,375,279,75,200,199,99,488,4,1.824,2,3,23,10.488,2,2,2,0.912,4,1.824,14,6.384,10,4.56,0,1,0,T:1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,C:1,0
chapters/part4/14-self-attention-transformer.qmd,chapter,1,0,2938,221,415,209,143,253,294,111,1035,7,2.383,0,2,23,7.828,3,2,0,0.0,9,3.063,1,0.34,4,1.361,3,1,0,T:1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
chapters/part4/15-bert-pretraining.qmd,chapter,1,0,3117,336,364,326,173,226,525,104,531,13,4.171,2,0,13,4.171,2,3,0,0.0,13,4.171,3,0.962,3,0.962,0,1,0,T:1,1,0,A:1,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
chapters/part4/16-vit-scaling.qmd,chapter,1,0,3055,284,298,360,160,253,325,106,530,13,4.255,3,2,9,2.946,2,2,0,0.0,4,1.309,6,1.964,13,4.255,0,1,0,T:1,2,0,A:2,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,C:1,2,0,A:2,0
chapters/part5/17-peft-quantization.qmd,chapter,1,1,3343,402,582,257,317,144,349,144,1501,12,3.59,0,1,9,2.692,2,2,1,0.299,10,2.991,4,1.197,11,3.29,0,1,0,T:1,0,0,,0,0,,0,0,,0,2,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,2,0,A:1 C:1,8
chapters/part5/18-alignment.qmd,chapter,1,0,2936,553,429,224,169,193,339,136,1869,15,5.109,2,1,7,2.384,1,3,0,0.0,11,3.747,6,2.044,9,3.065,0,1,0,T:1,2,0,A:2,0,0,,0,1,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,A:1,0
chapters/part5/19-generative.qmd,chapter,1,0,2324,474,378,377,161,172,421,96,564,6,2.582,1,0,5,2.151,0,2,0,0.0,11,4.733,1,0.43,11,4.733,0,1,0,T:1,2,0,A:2,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,A:1,0,0,,0
chapters/part5/20-multimodal.qmd,chapter,1,0,2140,200,270,374,141,118,169,80,0,0,0.0,0,1,7,3.271,2,2,0,0.0,4,1.869,0,0.0,13,6.075,0,1,0,T:1,2,0,A:2,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,A:1,0
chapters/parts/p1-lines-to-networks.qmd,part,0,0,100,0,0,0,0,0,0,4,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1,10.0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
chapters/parts/p2-vision.qmd,part,0,0,111,0,0,0,0,0,0,4,0,1,9.009,0,0,0,0.0,0,0,0,0.0,0,0.0,1,9.009,1,9.009,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
chapters/parts/p3-sequences.qmd,part,0,0,96,0,0,0,0,0,0,4,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,1,10.417,1,10.417,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
chapters/parts/p4-attention.qmd,part,0,0,122,0,0,0,0,0,0,4,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,2,16.393,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
chapters/parts/p5-pretrained-era.qmd,part,0,0,130,0,0,0,0,0,0,7,0,2,15.385,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,2,15.385,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
